DATE,NIKKEI225,DJIA,DEXJPUS
2008-08-08,13168.41,11734.32,110.09
2008-08-11,13430.91,11782.35,110.08
2008-08-12,13303.6,11642.47,109.78
2008-08-13,13023.05,11532.96,108.71
2008-08-14,12956.8,11615.93,109.75
2008-08-15,13019.41,11659.9,110.48
2008-08-18,13165.45,11479.39,110.07
2008-08-19,12865.05,11348.55,109.68
2008-08-20,12851.69,11417.43,109.98
2008-08-21,12752.21,11430.21,108.35
2008-08-22,12666.04,11628.06,109.88
2008-08-25,12878.66,11386.25,109.11
2008-08-26,12778.71,11412.87,109.83
2008-08-27,12752.96,11502.51,109.72
2008-08-28,12768.25,11715.18,109.56
2008-08-29,13072.87,11543.55,108.69
2008-09-01,12834.18,,
2008-09-02,12609.47,11516.92,108.85
2008-09-03,12689.59,11532.88,108.18
2008-09-04,12557.66,11188.23,107.76
2008-09-05,12212.23,11220.96,106.96
2008-09-08,12624.46,11510.74,107.91
2008-09-09,12400.65,11230.73,107.1
2008-09-10,12346.63,11268.92,107.86
2008-09-11,12102.5,11433.71,106.66
2008-09-12,12214.76,11421.99,107.51
2008-09-15,,10917.51,105.67
2008-09-16,11609.72,11059.02,105.11
2008-09-17,11749.79,10609.66,104.71
2008-09-18,11489.3,11019.69,104.85
2008-09-19,11920.86,11388.44,107.18
2008-09-22,12090.59,11015.69,106.35
2008-09-23,,10854.17,105.8
2008-09-24,12115.03,10825.17,106.03
2008-09-25,12006.53,11022.06,106.48
2008-09-26,11893.16,11143.13,106.06
2008-09-29,11743.61,10365.45,105.1
2008-09-30,11259.86,10850.66,105.94
2008-10-01,11368.26,10831.07,106.06
2008-10-02,11154.76,10482.85,105.3
2008-10-03,10938.14,10325.38,105.76
2008-10-06,10473.09,9955.5,101.26
2008-10-07,10155.9,9447.11,102.3
2008-10-08,9203.32,9258.1,99.73
2008-10-09,9157.49,8579.19,100.67
2008-10-10,8276.43,8451.19,99.44
2008-10-13,,9387.61,
2008-10-14,9447.57,9310.99,102.17
2008-10-15,9547.47,8577.91,101.47
2008-10-16,8458.45,8979.26,100.46
2008-10-17,8693.82,8852.22,101.4
2008-10-20,9005.59,9265.43,101.74
2008-10-21,9306.25,9033.66,100.43
2008-10-22,8674.69,8519.21,98.63
2008-10-23,8460.98,8691.25,97.6
2008-10-24,7649.08,8378.95,92.64
2008-10-27,7162.9,8175.77,93.28
2008-10-28,7621.92,9065.12,95.68
2008-10-29,8211.9,8990.96,97.48
2008-10-30,9029.76,9180.69,97.47
2008-10-31,8576.98,9325.01,98.28
2008-11-03,,9319.83,98.95
2008-11-04,9114.6,9625.28,100.48
2008-11-05,9521.24,9139.27,98.95
2008-11-06,8899.14,8695.79,98.04
2008-11-07,8583.0,8943.81,98.15
2008-11-10,9081.43,8870.54,97.96
2008-11-11,8809.3,8693.96,
2008-11-12,8695.51,8282.66,95.54
2008-11-13,8238.64,8835.25,95.95
2008-11-14,8462.39,8497.31,96.66
2008-11-17,8522.58,8273.58,97.03
2008-11-18,8328.41,8424.75,97.38
2008-11-19,8273.22,7997.28,96.75
2008-11-20,7703.04,7552.29,94.98
2008-11-21,7910.79,8046.42,95.42
2008-11-24,,8443.39,96.69
2008-11-25,8323.93,8479.47,95.53
2008-11-26,8213.22,8726.61,95.46
2008-11-27,8373.39,,
2008-11-28,8512.27,8829.04,95.46
2008-12-01,8397.22,8149.09,93.71
2008-12-02,7863.69,8419.09,93.64
2008-12-03,8004.1,8591.69,93.25
2008-12-04,7924.24,8376.24,92.78
2008-12-05,7917.51,8635.42,92.18
2008-12-08,8329.05,8934.18,92.77
2008-12-09,8395.87,8691.33,92.44
2008-12-10,8660.24,8761.42,92.94
2008-12-11,8720.55,8565.09,91.96
2008-12-12,8235.87,8629.68,91.26
2008-12-15,8664.66,8564.53,90.68
2008-12-16,8568.02,8924.14,89.98
2008-12-17,8612.52,8824.34,87.84
2008-12-18,8667.23,8604.99,89.81
2008-12-19,8588.52,8579.11,89.48
2008-12-22,8723.78,8519.77,90.07
2008-12-23,,8419.49,90.57
2008-12-24,8517.1,8468.48,90.68
2008-12-25,,,
2008-12-26,8739.52,8515.55,90.65
2008-12-29,8747.17,8483.93,90.2
2008-12-30,8859.56,8668.39,90.37
2008-12-31,,8776.39,90.79
2009-01-01,,,
2009-01-02,,9034.69,91.12
2009-01-05,9043.12,8952.89,93.2
2009-01-06,9080.84,9015.1,94.2
2009-01-07,9239.24,8769.7,92.7
2009-01-08,8876.42,8742.46,91.15
2009-01-09,8836.8,8599.18,90.25
2009-01-12,,8473.97,88.92
2009-01-13,8413.91,8448.56,89.65
2009-01-14,8438.45,8200.14,89.28
2009-01-15,8023.31,8212.49,89.59
2009-01-16,8230.15,8281.22,90.29
2009-01-19,8256.85,,
2009-01-20,8065.79,7949.09,90.19
2009-01-21,7901.64,8228.1,87.8
2009-01-22,8051.74,8122.8,88.64
2009-01-23,7745.25,8077.56,88.72
2009-01-26,7682.14,8116.03,89.25
2009-01-27,8061.07,8174.73,88.99
2009-01-28,8106.29,8375.45,88.87
2009-01-29,8251.24,8149.01,89.77
2009-01-30,7994.05,8000.86,89.83
2009-02-02,7873.98,7936.83,89.86
2009-02-03,7825.51,8078.36,89.09
2009-02-04,8038.94,7956.66,89.53
2009-02-05,7949.65,8063.07,91.01
2009-02-06,8076.62,8280.59,91.95
2009-02-09,7969.03,8270.87,91.47
2009-02-10,7945.94,7888.88,90.65
2009-02-11,,7939.53,90.66
2009-02-12,7705.36,7932.76,90.55
2009-02-13,7779.4,7850.41,91.84
2009-02-16,7750.17,,
2009-02-17,7645.51,7552.6,92.17
2009-02-18,7534.44,7555.63,93.81
2009-02-19,7557.65,7465.95,94.09
2009-02-20,7416.38,7365.67,93.87
2009-02-23,7376.16,7114.78,94.63
2009-02-24,7268.56,7350.94,96.6
2009-02-25,7461.22,7270.89,97.33
2009-02-26,7457.93,7182.08,98.55
2009-02-27,7568.42,7062.93,97.74
2009-03-02,7280.15,6763.29,97.17
2009-03-03,7229.72,6726.02,98.16
2009-03-04,7290.96,6875.84,99.34
2009-03-05,7433.49,6594.44,98.32
2009-03-06,7173.1,6626.94,97.88
2009-03-09,7086.03,6547.05,98.87
2009-03-10,7054.98,6926.49,98.39
2009-03-11,7376.12,6930.4,97.74
2009-03-12,7198.25,7170.06,97.86
2009-03-13,7569.28,7223.98,98.04
2009-03-16,7704.15,7216.97,98.17
2009-03-17,7949.13,7395.7,98.85
2009-03-18,7972.17,7486.58,98.08
2009-03-19,7945.96,7400.8,93.85
2009-03-20,,7278.38,96.18
2009-03-23,8215.53,7775.86,97.3
2009-03-24,8488.3,7659.97,97.86
2009-03-25,8479.99,7749.81,97.7
2009-03-26,8636.33,7924.56,98.47
2009-03-27,8626.97,7776.18,97.99
2009-03-30,8236.08,7522.02,97.44
2009-03-31,8109.53,7608.92,99.15
2009-04-01,8351.91,7761.6,98.93
2009-04-02,8719.78,7978.08,99.48
2009-04-03,8749.84,8017.59,99.94
2009-04-06,8857.93,7975.85,100.65
2009-04-07,8832.85,7789.56,100.71
2009-04-08,8595.01,7837.11,99.95
2009-04-09,8916.06,8083.38,100.43
2009-04-10,8964.11,,100.3
2009-04-13,8924.43,8057.81,100.12
2009-04-14,8842.68,7920.18,99.08
2009-04-15,8742.96,8029.62,99.37
2009-04-16,8755.26,8125.43,99.29
2009-04-17,8907.58,8131.33,99.21
2009-04-20,8924.75,7841.73,98.29
2009-04-21,8711.33,7969.56,98.6
2009-04-22,8727.3,7886.57,98.14
2009-04-23,8847.01,7957.06,97.88
2009-04-24,8707.99,8076.29,97.08
2009-04-27,8726.34,8025.0,96.57
2009-04-28,8493.77,8016.95,96.49
2009-04-29,,8185.73,96.97
2009-04-30,8828.26,8168.12,98.76
2009-05-01,8977.37,8212.41,99.24
2009-05-04,,8426.74,99.12
2009-05-05,,8410.65,98.76
2009-05-06,,8512.28,98.6
2009-05-07,9385.7,8409.85,99.0
2009-05-08,9432.83,8574.65,99.01
2009-05-11,9451.98,8418.77,97.45
2009-05-12,9298.61,8469.11,96.59
2009-05-13,9340.49,8284.89,95.75
2009-05-14,9093.73,8331.32,95.62
2009-05-15,9265.02,8268.64,94.89
2009-05-18,9038.69,8504.08,96.05
2009-05-19,9290.29,8474.85,96.1
2009-05-20,9344.64,8422.04,95.16
2009-05-21,9264.15,8292.13,94.97
2009-05-22,9225.81,8277.32,94.45
2009-05-25,9347.0,,
2009-05-26,9310.81,8473.49,94.81
2009-05-27,9438.77,8300.02,95.01
2009-05-28,9451.39,8403.8,96.76
